0 5.00694
0.06 4.77455
0.12 4.127
0.18 3.10777
0.24 1.81174
0.3 0.35366
0.36 -1.13596
0.42 -2.52412
0.48 -3.6868
0.54 -4.52016
0.6 -4.94974
0.66 -4.93717
0.72 -4.48359
0.78 -3.6295
0.84 -2.45119
0.9 -1.05393
0.96 0.437475
1.02 1.8898
1.08 3.17332
1.14 4.17337
1.2 4.80063
1.26 4.99907
1.32 4.75095
1.38 4.07844
1.44 3.04162
1.5 1.7331
1.56 0.269765
1.62 -1.21767
1.68 -2.59633
1.74 -3.74306
1.8 -4.55544
1.86 -4.9609
1.92 -4.92322
1.98 -4.44575
2.04 -3.57117
2.1 -2.37758
2.16 -0.971605
2.22 0.521156
2.28 1.96736
2.34 3.23783
2.4 4.21908
2.46 4.82344
2.52 4.99695
2.58 4.72409
2.64 4.02923
2.7 2.9745
2.76 1.65389
2.82 0.186178
2.88 -1.3005
2.94 -2.66231
3 -3.81877
