t numerical exact
0 10 10
0.025 7.725 7.98452
0.05 6.01319 6.41001
0.075 4.72392 5.17904
0.1 3.75168 4.21575
0.125 3.01735 3.46104
0.15 2.46158 2.86888
0.175 2.03984 2.40342
0.2 1.71876 2.03675
0.225 1.47328 1.74711
0.25 1.28463 1.51757
0.275 1.1387 1.33492
0.3 1.02493 1.1889
0.325 0.935382 1.0715
0.35 0.864105 0.976465
0.375 0.806633 0.898949
0.4 0.759615 0.835161
0.425 0.720533 0.782148
0.45 0.687498 0.737609
0.475 0.65909 0.69975
0.5 0.634242 0.667172
0.525 0.612151 0.638783
0.55 0.592213 0.613731
0.575 0.573973 0.59135
0.6 0.557089 0.57112
0.625 0.541299 0.552636
0.65 0.526408 0.535577
0.675 0.512266 0.519694
0.7 0.49876 0.504792
0.725 0.485802 0.490716
0.75 0.473324 0.477344
0.775 0.461276 0.46458
0.8 0.449615 0.452348
