t numerical exact
0 10 10
0.0125 8.92507 8.93005
0.025 7.97574 7.98452
0.0375 7.13718 7.1488
0.05 6.39633 6.41001
0.0625 5.74169 5.75677
0.075 5.16308 5.17904
0.0875 4.65155 4.66798
0.1 4.19918 4.21575
0.1125 3.79902 3.81547
0.125 3.44492 3.46104
0.1375 3.13144 3.14709
0.15 2.85382 2.86888
0.1625 2.60782 2.62222
0.175 2.38974 2.40342
0.1875 2.19629 2.20922
0.2 2.02458 2.03675
0.2125 1.87205 1.88346
0.225 1.73645 1.74711
0.2375 1.6158 1.62573
0.25 1.50834 1.51757
0.2625 1.41254 1.42108
0.275 1.32702 1.33492
0.2875 1.25059 1.25788
0.3 1.18219 1.1889
0.3125 1.12088 1.12705
0.325 1.06583 1.0715
0.3375 1.01632 1.02152
0.35 0.971712 0.976465
0.3625 0.931432 0.935776
0.375 0.894982 0.898949
0.3875 0.861922 0.865541
0.4 0.831863 0.835161
0.4125 0.804462 0.807465
0.425 0.779416 0.782148
0.4375 0.756459 0.758942
0.45 0.735354 0.737609
0.4625 0.715893 0.71794
0.475 0.697893 0.69975
0.4875 0.681192 0.682876
0.5 0.665647 0.667172
0.5125 0.651131 0.652512
0.525 0.637532 0.638783
0.5375 0.624753 0.625885
0.55 0.612707 0.613731
0.5625 0.601316 0.602242
0.575 0.590513 0.59135
0.5875 0.580237 0.580994
0.6 0.570437 0.57112
0.6125 0.561064 0.561682
0.625 0.552077 0.552636
0.6375 0.543441 0.543945
0.65 0.535121 0.535577
0.6625 0.52709 0.527502
0.675 0.519322 0.519694
0.6875 0.511795 0.512131
0.7 0.504488 0.504792
0.7125 0.497385 0.497659
0.725 0.490468 0.490716
0.7375 0.483724 0.483949
0.75 0.477141 0.477344
0.7625 0.470707 0.470892
0.775 0.464413 0.46458
0.7875 0.45825 0.458402
0.8 0.452211 0.452348
