t numerical exact
0 10 10
0.0125 8.8625 8.93005
0.025 7.86579 7.98452
0.0375 6.99229 7.1488
0.05 6.22661 6.41001
0.0625 5.5553 5.75677
0.075 4.96657 5.17904
0.0875 4.45012 4.66798
0.1 3.99693 4.21575
0.1125 3.59911 3.81547
0.125 3.24975 3.46104
0.1375 2.94281 3.14709
0.15 2.67301 2.86888
0.1625 2.43571 2.62222
0.175 2.22687 2.40342
0.1875 2.04295 2.20922
0.2 1.88085 2.03675
0.2125 1.73785 1.88346
0.225 1.61158 1.74711
0.2375 1.49997 1.62573
0.25 1.40119 1.51757
0.2625 1.31366 1.42108
0.275 1.23598 1.33492
0.2875 1.16693 1.25788
0.3 1.10545 1.1889
0.3125 1.05061 1.12705
0.325 1.00159 1.0715
0.3375 0.95768 1.02152
0.35 0.918244 0.976465
0.3625 0.882741 0.935776
0.375 0.850691 0.898949
0.3875 0.821675 0.865541
0.4 0.795325 0.835161
0.4125 0.77132 0.807465
0.425 0.74938 0.782148
0.4375 0.729256 0.758942
0.45 0.710735 0.737609
0.4625 0.693626 0.71794
0.475 0.677765 0.69975
0.4875 0.663006 0.682876
0.5 0.649223 0.667172
0.5125 0.636305 0.652512
0.525 0.624154 0.638783
0.5375 0.612685 0.625885
0.55 0.601823 0.613731
0.5625 0.591502 0.602242
0.575 0.581664 0.59135
0.5875 0.572261 0.580994
0.6 0.563246 0.57112
0.6125 0.554582 0.561682
0.625 0.546233 0.552636
0.6375 0.538171 0.543945
0.65 0.530368 0.535577
0.6625 0.522803 0.527502
0.675 0.515453 0.519694
0.6875 0.508301 0.512131
0.7 0.501332 0.504792
0.7125 0.494532 0.497659
0.725 0.487887 0.490716
0.7375 0.481388 0.483949
0.75 0.475024 0.477344
0.7625 0.468787 0.470892
0.775 0.46267 0.46458
0.7875 0.456665 0.458402
0.8 0.450767 0.452348
