t numerical exact
0 10 10
0.025 8.17556 7.98452
0.05 6.71167 6.41001
0.075 5.53633 5.17904
0.1 4.59193 4.21575
0.125 3.8324 3.46104
0.15 3.22084 2.86888
0.175 2.72778 2.40342
0.2 2.32959 2.03675
0.225 2.00741 1.74711
0.25 1.74611 1.51757
0.275 1.53361 1.33492
0.3 1.36024 1.1889
0.325 1.21824 1.0715
0.35 1.10144 0.976465
0.375 1.00486 0.898949
0.4 0.924548 0.835161
0.425 0.857317 0.782148
0.45 0.800627 0.737609
0.475 0.752441 0.69975
0.5 0.711128 0.667172
0.525 0.675382 0.638783
0.55 0.644157 0.613731
0.575 0.616612 0.59135
0.6 0.592076 0.57112
0.625 0.570008 0.552636
0.65 0.549975 0.535577
0.675 0.531628 0.519694
0.7 0.514688 0.504792
0.725 0.498928 0.490716
0.75 0.484169 0.477344
0.775 0.470262 0.46458
0.8 0.457089 0.452348
