t numerical exact
0 10 10
0.00625 9.44885 9.44849
0.0125 8.93073 8.93005
0.01875 8.44364 8.44269
0.025 7.98571 7.98452
0.03125 7.55518 7.55377
0.0375 7.15038 7.1488
0.04375 6.76977 6.76803
0.05 6.41187 6.41001
0.05625 6.07532 6.07335
0.0625 5.75882 5.75677
0.06875 5.46117 5.45904
0.075 5.18122 5.17904
0.08125 4.91791 4.91569
0.0875 4.67022 4.66798
0.09375 4.43722 4.43496
0.1 4.21802 4.21575
0.10625 4.01178 4.00952
0.1125 3.81772 3.81547
0.11875 3.6351 3.63287
0.125 3.46324 3.46104
0.13125 3.30149 3.29932
0.1375 3.14923 3.14709
0.14375 3.00589 3.00379
0.15 2.87094 2.86888
0.15625 2.74386 2.74185
0.1625 2.62419 2.62222
0.16875 2.51147 2.50955
0.175 2.40529 2.40342
0.18125 2.30526 2.30344
0.1875 2.21099 2.20922
0.19375 2.12216 2.12044
0.2 2.03842 2.03675
0.20625 1.95947 1.95785
0.2125 1.88502 1.88346
0.21875 1.81481 1.81329
0.225 1.74857 1.74711
0.23125 1.68607 1.68466
0.2375 1.62709 1.62573
0.24375 1.57141 1.57009
0.25 1.51883 1.51757
0.25625 1.46917 1.46795
0.2625 1.42226 1.42108
0.26875 1.37792 1.37679
0.275 1.33601 1.33492
0.28125 1.29637 1.29533
0.2875 1.25888 1.25788
0.29375 1.22341 1.22245
0.3 1.18982 1.1889
0.30625 1.15802 1.15714
0.3125 1.1279 1.12705
0.31875 1.09934 1.09853
0.325 1.07227 1.0715
0.33125 1.0466 1.04585
0.3375 1.02223 1.02152
0.34375 0.999094 0.998411
0.35 0.977118 0.976465
0.35625 0.956233 0.955608
0.3625 0.936374 0.935776
0.36875 0.91748 0.916909
0.375 0.899495 0.898949
0.38125 0.882365 0.881843
0.3875 0.866039 0.865541
0.39375 0.850471 0.849995
0.4 0.835615 0.835161
0.40625 0.821431 0.820997
0.4125 0.807878 0.807465
0.41875 0.794921 0.794526
0.425 0.782524 0.782148
0.43125 0.770656 0.770297
0.4375 0.759284 0.758942
0.44375 0.748381 0.748055
0.45 0.73792 0.737609
0.45625 0.727875 0.727579
0.4625 0.718223 0.71794
0.46875 0.70894 0.708671
0.475 0.700007 0.69975
0.48125 0.691402 0.691158
0.4875 0.683108 0.682876
0.49375 0.675107 0.674886
0.5 0.667383 0.667172
0.50625 0.65992 0.659719
0.5125 0.652703 0.652512
0.51875 0.645719 0.645538
0.525 0.638956 0.638783
0.53125 0.6324 0.632236
0.5375 0.626042 0.625885
0.54375 0.619869 0.61972
0.55 0.613872 0.613731
0.55625 0.608042 0.607908
0.5625 0.60237 0.602242
0.56875 0.596847 0.596725
0.575 0.591466 0.59135
0.58125 0.586219 0.586108
0.5875 0.581099 0.580994
0.59375 0.5761 0.576
0.6 0.571215 0.57112
0.60625 0.566439 0.566349
0.6125 0.561767 0.561682
0.61875 0.557193 0.557112
0.625 0.552713 0.552636
0.63125 0.548321 0.548248
0.6375 0.544015 0.543945
0.64375 0.539789 0.539722
0.65 0.53564 0.535577
0.65625 0.531564 0.531504
0.6625 0.527559 0.527502
0.66875 0.52362 0.523566
0.675 0.519746 0.519694
0.68125 0.515933 0.515884
0.6875 0.512178 0.512131
0.69375 0.508479 0.508435
0.7 0.504834 0.504792
0.70625 0.501241 0.501201
0.7125 0.497697 0.497659
0.71875 0.494201 0.494165
0.725 0.490751 0.490716
0.73125 0.487344 0.487311
0.7375 0.48398 0.483949
0.74375 0.480657 0.480627
0.75 0.477373 0.477344
0.75625 0.474127 0.4741
0.7625 0.470917 0.470892
0.76875 0.467743 0.467719
0.775 0.464604 0.46458
0.78125 0.461497 0.461475
0.7875 0.458423 0.458402
0.79375 0.45538 0.45536
0.8 0.452367 0.452348
