t numerical exact
0 10 10
0.0125 8.98765 8.93005
0.025 8.08655 7.98452
0.0375 7.28436 7.1488
0.05 6.57011 6.41001
0.0625 5.93404 5.75677
0.075 5.36748 5.17904
0.0875 4.86271 4.66798
0.1 4.4129 4.21575
0.1125 4.01193 3.81547
0.125 3.65441 3.46104
0.1375 3.33552 3.14709
0.15 3.05098 2.86888
0.1625 2.79698 2.62222
0.175 2.57015 2.40342
0.1875 2.36748 2.20922
0.2 2.1863 2.03675
0.2125 2.02424 1.88346
0.225 1.87917 1.74711
0.2375 1.74923 1.62573
0.25 1.63276 1.51757
0.2625 1.52825 1.42108
0.275 1.4344 1.33492
0.2875 1.35004 1.25788
0.3 1.27412 1.1889
0.3125 1.20571 1.12705
0.325 1.14399 1.0715
0.3375 1.08824 1.02152
0.35 1.03779 0.976465
0.3625 0.992075 0.935776
0.375 0.950574 0.898949
0.3875 0.912829 0.865541
0.4 0.878436 0.835161
0.4125 0.847031 0.807465
0.425 0.818294 0.782148
0.4375 0.791937 0.758942
0.45 0.767707 0.737609
0.4625 0.745377 0.71794
0.475 0.724746 0.69975
0.4875 0.705634 0.682876
0.5 0.687884 0.667172
0.5125 0.671352 0.652512
0.525 0.655913 0.638783
0.5375 0.641454 0.625885
0.55 0.627876 0.613731
0.5625 0.615091 0.602242
0.575 0.603018 0.59135
0.5875 0.591587 0.580994
0.6 0.580737 0.57112
0.6125 0.57041 0.561682
0.625 0.560557 0.552636
0.6375 0.551134 0.543945
0.65 0.542102 0.535577
0.6625 0.533424 0.527502
0.675 0.52507 0.519694
0.6875 0.517012 0.512131
0.7 0.509225 0.504792
0.7125 0.501686 0.497659
0.725 0.494376 0.490716
0.7375 0.487276 0.483949
0.75 0.480371 0.477344
0.7625 0.473646 0.470892
0.775 0.467089 0.46458
0.7875 0.460688 0.458402
0.8 0.454434 0.452348
