t numerical exact
0 10 10
0.025 8.00658 7.98452
0.05 6.44443 6.41001
0.075 5.21932 5.17904
0.1 4.25765 4.21575
0.125 3.5019 3.46104
0.15 2.90714 2.86888
0.175 2.43825 2.40342
0.2 2.0678 2.03675
0.225 1.77437 1.74711
0.25 1.5412 1.51757
0.275 1.35521 1.33492
0.3 1.20618 1.1889
0.325 1.08611 1.0715
0.35 0.988748 0.976465
0.375 0.909225 0.898949
0.4 0.843721 0.835161
0.425 0.789253 0.782148
0.45 0.743487 0.737609
0.475 0.7046 0.69975
0.5 0.671165 0.667172
0.525 0.642063 0.638783
0.55 0.616421 0.613731
0.575 0.593553 0.59135
0.6 0.572923 0.57112
0.625 0.55411 0.552636
0.65 0.536782 0.535577
0.675 0.520679 0.519694
0.7 0.505598 0.504792
0.725 0.491376 0.490716
0.75 0.477885 0.477344
0.775 0.465024 0.46458
0.8 0.452714 0.452348
